GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos
5153,"Mason III, Frank",Frank Mason III,20180128,sac,sas,A,20180128-sac-sas,19,98,113,0,0,0,0,0,0,0,0,,0,0,4000,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180125,sac,mia,A,20180125-sac-mia,19.5,89,88,0,0,0,0,0,0,0,0,,0,0,4000,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180123,sac,orl,A,20180123-sac-orl,19,105,99,0,0,0,0,0,0,0,0,,0,0,4000,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180122,sac,cha,A,20180122-sac-cha,19,107,112,0,0,0,0,0,0,0,0,,0,0,4000,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180119,sac,mem,A,20180119-sac-mem,20,88,106,0,0,0,0,0,0,0,0,,0,0,4000,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180117,sac,uta,H,20180117-uta-sac,22,105,120,0,0,0,0,0,0,0,0,,0,0,4000,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180115,sac,okc,A,20180115-sac-okc,20,88,95,0,0,0,0,0,0,0,0,,0,0,4000,300,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180113,sac,lac,A,20180113-sac-lac,15.5,105,126,0,0,0,1,0,0,0,0,,0,0,3700,0,3700,0,,,10,0,1,1,,1
5153,"Mason III, Frank",Frank Mason III,20180111,sac,lac,H,20180111-lac-sac,22,115,121,0,0,0,0,0,0,0,0,,0,0,3700,0,3700,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20180109,sac,lal,A,20180109-sac-lal,22.5,86,99,0,0,0,0,0,0,0,0,,0,0,3700,0,3700,0,,,10,0,1,12,,1
