,PLAYER,POS,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,2ndPTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,PERIPHERAL,Cluster
161,Giannis Antetokounmpo,PF,MIL,23,30,16,14,37.9,29.5,10.8,19.8,54.5,0.5,1.8,27.3,7.4,9.6,77.7,2.1,8.2,10.3,4.6,2.8,1.8,1.4,3.3,55.6,15,0,3.3,3.2,5.1,17.9,10.7,9.6,4.9,33.0,0.7,7.3,110.0,105.0,5.0,22.3,1.64,14.6,6.7,25.0,15.9,8.9,55.7,61.4,32.2,98.21,20.2,90.8,9.2,69.8,9.3,5.1,17.4,25.2,17.2,60.5,43.4,56.6,93.3,6.7,45.7,54.3,26.1,3
390,James Harden,SG,HOU,28,32,25,7,36.3,32.4,9.7,21.3,45.6,4.3,10.8,39.4,8.8,10.2,86.5,0.5,4.7,5.2,9.2,4.4,1.8,0.5,2.7,55.0,13,2,8.0,1.8,2.1,9.5,13.7,8.6,9.9,35.1,1.3,7.1,115.9,105.8,10.2,45.2,2.09,23.3,1.6,14.7,8.2,11.1,55.6,63.0,36.0,101.71,19.3,49.3,50.7,33.5,4.2,39.3,6.5,27.2,15.3,29.3,12.6,87.4,30.1,69.9,20.3,79.7,22.6,4
160,LeBron James,PF,CLE,33,34,24,10,37.4,28.1,10.7,18.9,56.5,2.1,5.1,40.6,4.6,5.9,77.7,1.2,7.0,8.1,9.1,4.4,1.4,1.1,1.7,54.8,22,6,3.1,2.4,3.5,14.2,12.5,9.6,8.9,35.9,0.8,5.0,114.2,110.5,3.7,43.8,2.1,26.1,3.8,20.9,12.6,12.4,62.0,65.2,31.1,98.34,19.9,72.8,27.2,61.3,10.7,22.3,12.4,16.4,15.7,50.6,29.7,70.3,33.8,66.2,30.5,69.5,26.699999999999996,7
243,Russell Westbrook,PG,OKC,29,34,19,15,36.3,23.9,8.6,20.6,41.6,1.6,5.0,31.6,5.1,7.1,71.8,1.7,7.6,9.4,9.9,4.5,2.1,0.2,2.6,52.3,22,11,4.7,2.4,4.9,9.5,11.9,8.4,6.9,30.8,1.1,5.7,106.7,101.0,5.6,46.6,2.22,26.0,5.2,24.6,14.5,11.7,45.4,50.2,33.4,98.63,18.2,75.6,24.4,58.7,18.7,20.0,20.6,21.3,22.1,40.0,15.1,84.9,37.0,63.0,19.2,80.8,28.4,4
82,DeMarcus Cousins,C,NOP,27,33,17,16,35.2,25.9,8.9,18.6,47.8,2.2,6.2,35.3,6.0,8.1,73.8,2.1,10.0,12.1,5.2,5.1,1.5,1.5,3.7,52.0,24,1,0.0,3.3,1.6,12.1,13.6,9.3,10.6,33.2,1.4,7.6,107.9,107.9,0.0,24.7,1.02,16.0,7.0,31.7,19.7,15.7,53.7,58.5,34.0,100.81,16.7,66.7,33.3,51.7,5.1,25.3,6.1,23.0,12.9,46.5,40.3,59.7,93.1,6.9,53.2,46.8,26.1,5
156,Kevin Durant,PF,GSW,29,29,23,6,34.8,26.2,9.5,19.0,49.9,2.4,6.5,37.8,4.8,5.5,88.1,0.6,6.6,7.2,5.1,3.4,0.8,2.3,2.3,48.6,6,1,7.6,1.8,3.9,8.6,13.7,10.0,11.0,33.0,0.9,5.0,114.2,103.0,11.2,22.9,1.51,17.1,2.2,18.9,11.4,11.4,56.4,61.3,30.8,102.44,16.5,65.9,34.1,53.6,21.0,28.0,15.0,18.4,14.6,32.6,50.5,49.5,76.1,23.9,57.1,42.9,22.400000000000002,1
158,Anthony Davis,PF,NOP,24,28,14,14,35.1,25.1,9.2,16.1,56.9,0.6,1.7,35.4,6.2,7.7,80.1,2.4,8.0,10.4,2.4,2.1,1.1,2.0,1.9,48.3,18,0,3.4,4.4,3.1,13.9,13.0,10.0,10.0,31.2,0.4,7.1,108.3,103.3,5.0,11.4,1.15,10.1,8.1,23.7,16.4,8.8,58.7,64.3,26.9,102.05,18.9,89.4,10.6,68.3,12.8,7.3,12.5,24.5,16.9,55.5,66.3,33.8,94.1,5.9,68.1,31.9,23.199999999999996,1
75,Joel Embiid,C,PHI,23,25,14,11,31.2,23.8,8.2,16.9,48.6,0.8,2.7,27.9,6.6,8.2,80.9,2.3,8.8,11.1,3.4,4.1,0.6,2.0,3.5,45.9,15,0,5.1,3.4,0.4,11.0,10.8,8.8,5.4,24.4,1.2,7.3,106.6,99.2,7.4,20.1,0.83,12.3,8.3,27.6,18.6,14.7,50.8,58.0,33.8,101.21,18.5,83.9,16.1,62.6,16.5,9.6,1.9,27.8,10.9,46.1,47.3,52.7,94.7,5.3,51.7,48.3,22.099999999999998,5
236,Stephen Curry,PG,GSW,29,23,18,5,32.6,26.3,8.3,17.7,47.3,3.6,9.5,38.1,6.0,6.5,93.3,0.7,4.4,5.1,6.6,2.9,1.7,0.2,2.5,45.1,4,0,11.5,1.9,4.7,5.8,12.7,9.2,11.2,32.0,0.3,4.0,118.9,102.3,16.6,28.1,2.25,21.9,2.4,13.7,8.6,9.7,57.5,64.3,29.8,107.31,16.2,46.3,53.7,36.0,13.9,41.1,17.7,22.9,14.4,22.1,41.3,58.7,61.4,38.6,50.0,50.0,18.8,6
242,Ben Simmons,PG,PHI,21,32,14,18,36.3,16.8,7.1,13.9,51.1,0.0,0.3,0.0,2.6,4.8,52.9,2.0,6.8,8.8,7.6,3.9,1.9,0.8,2.7,43.2,18,4,0.8,1.6,1.8,13.4,14.5,9.7,7.6,30.6,0.7,4.6,104.2,102.6,1.7,32.9,1.93,27.5,6.3,19.2,13.1,14.3,51.1,52.3,23.2,103.2,14.3,98.0,2.0,84.8,4.8,0.0,10.8,15.2,19.7,79.9,31.6,68.4,0.0,0.0,31.6,68.4,26.400000000000002,7
76,Andre Drummond,C,DET,24,33,19,14,32.4,14.2,5.5,10.3,53.8,0.0,0.1,0.0,3.1,4.9,62.6,4.8,10.1,14.9,3.6,2.9,1.4,1.2,3.3,42.5,23,0,1.0,5.3,0.9,11.1,10.4,7.1,6.5,29.6,0.8,4.5,106.9,106.9,0.0,17.2,1.24,19.0,16.2,36.2,25.9,15.3,53.8,56.8,20.8,97.45,15.7,99.4,0.6,78.2,0.0,0.0,6.6,21.8,15.6,78.2,50.3,49.7,0.0,0.0,50.3,49.7,28.3,5
387,Victor Oladipo,SG,IND,25,33,19,14,34.4,24.9,8.9,18.4,48.5,2.7,6.5,42.3,4.3,5.5,79.0,0.5,4.8,5.3,3.9,2.9,1.8,1.0,2.4,42.5,1,0,2.9,1.5,4.7,8.7,10.8,9.8,8.0,32.4,1.4,4.2,109.6,104.7,4.9,19.0,1.33,14.2,1.7,14.7,8.5,10.6,55.9,59.9,30.8,99.58,14.9,64.9,35.1,49.7,14.6,32.9,19.0,17.4,20.7,35.1,34.8,65.2,54.4,45.6,40.8,59.2,17.6,6
231,Chris Paul,PG,HOU,32,16,15,1,31.1,17.1,5.8,12.2,47.7,2.5,6.1,40.8,2.9,3.3,90.4,0.6,4.8,5.4,9.0,2.4,2.1,0.4,2.6,42.3,5,1,10.7,1.5,1.8,4.8,10.2,9.0,9.9,31.6,0.0,3.5,119.3,103.4,15.9,41.1,3.79,36.0,2.4,17.0,10.0,9.5,57.9,62.6,22.7,100.77,16.7,49.7,50.3,38.8,11.0,44.0,10.3,17.2,15.4,27.8,5.7,94.3,30.0,70.0,16.1,83.9,25.199999999999996,4
83,Karl-Anthony Towns,C,MIN,22,34,21,13,35.9,20.5,7.6,14.4,52.9,1.4,3.7,39.2,3.9,4.7,83.1,2.9,8.8,11.6,1.9,2.2,0.9,1.4,3.5,42.3,27,0,3.3,3.5,0.7,10.5,11.2,9.5,10.4,34.3,0.7,4.8,111.9,107.9,4.0,8.3,0.88,9.4,9.2,28.8,18.9,10.7,57.9,62.5,22.9,97.7,14.8,74.4,25.6,59.9,8.6,21.1,3.6,19.1,17.8,51.3,69.9,30.1,95.9,4.1,74.8,25.2,21.799999999999997,5
244,Damian Lillard,PG,POR,27,31,16,15,37.1,25.2,8.1,19.4,41.8,2.8,8.1,34.8,6.2,6.7,92.8,0.9,4.1,5.0,6.4,3.1,1.0,0.5,1.7,42.1,5,0,2.4,1.8,1.5,7.8,12.3,8.5,7.7,33.0,1.3,4.8,103.7,102.2,1.5,29.4,2.05,20.0,2.7,12.3,7.5,9.8,49.1,56.5,29.9,100.01,15.8,58.3,41.7,42.0,11.0,33.4,5.8,24.6,14.6,31.0,17.1,82.9,36.8,63.2,23.9,76.1,16.900000000000002,0
